li-fuman-e	li-fum-an-e
e-o-fis-ini	e-i-fiso-ini
e-liseduz-e	e-si-zel-is-e
ku-fanel-e	ku-fan-el-e
li-zal-is-w-e	li-zal-is-w-e
i-nga-s-i	i-nga-si
omu-nye	omu-nye
u-mu-ntu	u-mu-ntu
njalo	njalo
si-ba-w-a	si-baw-a
u-fund-e	u-fund-e
u-mu-hlahlandlela	u-mu-hlahlandlel-a
ya-kho	ya-kho
ya-i-li-layisense	ya-i-li-yasenyes-e
e-i-si-gabe-ini	esi-bang-i-e
w-e-klayenti	w-e-li-akaleni
qal-a	qal-a
i-bhokisana	i-bhokanis-a
l-o-i-m-enzi	la-u-mu-nze
w-e-agoa	w-e-jaja
nga-pha-si	nga-phasi
e-i-si-gabe-ini	esi-bang-i-e
sa-i-mi-niningo-ana	si-i-mi-niningo-ana
y-o-i-m-enzi	ya-u-mu-nze
w-e-agoa	w-e-jaja
vez-a	ez-a
i-li-gama	i-li-gama
la-u-ku-enz-a	la-u-ku-enz-a
i-li-bhizinisi	i-li-bhizinisi
la-i-li-bhizinisi	la-i-li-bhizinisi
ya-kho	ya-kho
i-ndawo	i-n-ndawo
lapho	la-pho
ku-thol-akal-a	ku-tholakal-a
i-li-bhizinisi	i-li-bhizinisi
i-si-bonelo	i-si-bonelo
i-plodo	i-li-podo
i-li-gama	i-li-gama
l-estrad-a	l-e-siqata
na-i-n-omboro	na-i-mi-noboo
ya-i-li-bhizinisi	ya-i-li-bhizisini
i-sabhabhu	i-si-bhabhu
lapho	la-pho
i-li-bhizinisi	i-li-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
i-dorobha	i-rodoba
eli-khulu	eli-khulu
i-dorobha	i-rodoba
lapho	la-pho
i-li-bhizinisi	i-li-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
ka-nye	ka-nye
na-i-khodi	na-i-khodi
y-e-strada	y-e-siqata
lapho	la-pho
i-li-bhizinisi	i-li-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
i-si-gaba	i-si-baga
la-u-ku-enz-a	la-u-ku-enz-a
ku-fanel-e	ku-fan-el-e
si-zal-is-w-e	si-zal-is-w-e
ku-phel-a	ku-phel-a
o-pheth-e	o-pheth-e
i-li-bhizinisi	i-li-bhizinisi
lokha	lo-kha
na-kenz-a	na-ka-enz-a
s-o-i-kutloliswa	s-o-i-kutloliswa
njenga-u-m-enzi	njenga-u-mu-nze
w-e-pahla	w-e-phala
w-e-agoa	w-e-jaja
i-li-gama	i-li-gama
i-li-gama	i-li-gama
lo-u-ku-tloliswa	l-o-i-kutloliswa
kwa-i-li-gama	kwa-i-li-gama
l-e-hlangano	la-i-li-hlangano
i-nga-s-i	i-nga-si
i-li-gama	i-li-gama
la-u-ku-enz-a	la-u-ku-enz-a
i-li-bhizinisi	i-li-bhizinisi
ku-fanel-e	ku-fan-el-e
li-vez-w-e	li-vez-w-e
ziko	zi-ko
na-ku-vel-a	na-ku-vel-a
i-asterisk	i-asitestr
sul-a	su-la
lokho	lo-kho
e-i-si-gabe-ini	esi-bang-i-e
vez-a	ez-a
oku-landel-ako	oku-landel-ako
na-i-si-bongo	na-i-si-bongo
sa-u-mu-ntu	sa-u-mu-ntu
o-wa-enz-a	o-wu-enz-a
sa-i-li-layisense	la-i-si-layesenise
ba-u-mu-ntu	ba-u-mu-ntu
o-wa-enz-a	o-wu-enz-a
i-si-bonelo	i-si-bonelo
u-m-pha-thi	u-mu-phathi
u-mu-nikazi	u-mu-nikazi
u-mu-ntu	u-mu-ntu
o-wa-enz-a	o-wu-enz-a
ku-fanel-e	ku-fan-el-e
i-li-langa	i-li-nga
nga-lo	nga-lo
i-ndawo	i-n-ndawo
lapho	la-pho
zalis-a	za-lis-a
e-o-fis-ini	e-i-fiso-ini
e-liseduz-e	e-si-zel-is-e
w-e-pahla	w-e-phala
a-ma-khophi	a-ma-khophi
ela-ndel-ako	e-i-landaleko
e-forom-ini	e-forom-ini
i-si-tifikhethi	i-si-tifikethi
s-o-i-kutloliswa	s-o-i-kutloliswa
kwa-i-li-bhizinisi	kwa-i-li-bhizinisi
njenga-omu-bana	njenga-u-mbana
si-k-hutjhw-e	si-khutjhw-e
w-a-makampani	w-a-mamakasi
li-the	th-e
e-bu-jam-e-ni	e-bamu-j-eni
i-n-vumo	i-mu-vumo
eli-nye	eli-nye
i-li-gunya	i-li-gunya
eli-sebenz-ako	e-i-si-benzekalo
i-n-vumo	i-mu-vumo
y-o-i-m-nyango	ya-u-mu-nyango
w-e-zo-kurhwebelana	w-e-zo-ku-phelanzwel-a
na-a-ma-bubulo	na-a-ma-bubulo
na-yifunekako	na-i-funyakeko
ya-u-ku-enz-a	ya-u-ku-enz-a
wa-enz-a	wa-enz-a
nga-pha-si	nga-phasi
ya-u-ku-buy-is-el-w-a	ya-u-ku-buyis-el-w-a
i-mali	i-li-mali
za-u-ku-zaz-is-a	za-u-ku-zi-az-is-a
e-bu-jam-e-ni	e-bamu-j-eni
ba-i-si-akhamuzi	ba-i-si-akhamuzi
s-e-sewula	sa-i-si-welu
y-e-pha-spoti	y-e-phappiso
e-bu-jam-e-ni	e-bamu-j-eni
ba-u-mu-ntu	ba-u-mu-ntu
o-nga-s-i	o-nga-si
wo-ke	wo-ke
a-ma-lunga	a-ma-lunga
a-ba-lingani	a-ba-lingani
b-e-kampani	kw-e-bamapini
ba-o-ke	bo-ke
ku-fak-a	ku-fak-a
na-u-m-nqophisi	na-u-mu-qonisipho
i-crime	i-rime
mi-hlobo	mi-hlobo
e-i-mi-nengana	e-i-mi-nganga-ani
y-a-masentha	ya-a-ma-sethan
wa-u-ku-fun-a	wa-u-ku-fun-a
i-rhelebho	i-rhelebho
n-gokudos-a	nga-u-ku-dos-a
a-sebenz-a	a-sebenz-a
u-ku-buth-elel-a	u-ku-bu-thel-el-a
i-lu-az-i	i-li-az-w-a
eli-buy-a	eli-buy-a
e-u-mu-phakathi-ini	e-maphakathi
nga-i-zelelesi	nga-i-zi-elelesi
ka-nye	ka-nye
na-i-mi-sebenzi	na-i-mi-sebenzi
y-a-zo	ya-zo
a-ma-lunga	a-ma-lunga
wa-u-mu-phakathi	w-o-i-m-phakathi
a-rhelejw-a	a-rhelel-w-e
ba-sebenzi	ba-sebenz-i
be-s-enth-a	be-senth-a
a-ba-bandulwe	aba-ba-ndul-w-e
ku-hle	ku-hle
e-i-kuphenyeni	e-u-ku-pheny-a-ini
nga-u-ku-khulum-is-an-a	nga-u-ku-khulum-is-an-a
lokhu	lo-khu
bona	bo-na
u-az-is-e	a-za-si-w-e
i-mi-sebenzi	i-mi-sebenzi
s-e-sewula	sa-i-si-welu
i-south	i-si-tho
nga-i-mi-sebenzi	nga-i-mi-sebenzi
y-e-ze-lelesi	y-e-zelelise
e-i-bhodulukweni	e-i-bhuduluko-ini
e-i-li-phephileko	e-i-li-phepheliko
na-i-li-ngabeki	na-i-li-ngabeki
a-ma-philo	a-ma-philo
e-i-n-ngozi-ini	e-nga-i-zoni
awu-zivez-i	a-wu-zi-viz-e
na-wungafuniko	na-na-u-nu-fungako
aba-sebenzel-i	aba-sebenz-el-i
be-zoku-landel-el-a	be-zo-ku-landelel-a
no-ku-fanisw-a	na-u-ku-fan-is-w-a
k-wa-bados-a	kwa-a-ba-dalo
i-mi-tato	i-mi-ttha
a-ba-kavunyelwa	aba-ku-vanyel-w-a
u-ku-z-a	u-kuz-a
kw-a-crime	kwa-i-m-rise
kho-na	khona
ku-za-kuqinisekiswa	ku-zaku-qinisek-is-w-a
u-ku-ngazivezi	u-ku-nga-zi-ez-ik-a
kw-e-empimpi	kw-e-mipepimi
i-lu-az-i	i-li-az-w-a
e-i-li-nikelweko	eli-nikel-w-eko
li-thunyelw-a	li-thuny-el-w-a
ku-baphenyi	ku-ba-phenyi
a-ma-sentha	a-ma-setha
w-e-rhelebho	w-e-rhebhelo
l-o-i-m-tato	l-o-i-m-tlato
godu	o-dud
a-thintan-is-a	a-thint-an-is-a
i-i-m-pimpi	i-mi-pipima
n-gokudos-a	nga-u-ku-dos-a
nga-i-n-dlela	nga-i-n-dlela
y-e-khonferensi	y-e-kherfendeni
lokhu	lo-khu
i-si-phath-is-w-a	i-si-phath-is-w-a
esi-pheny-ako	e-si-phenyako
u-ku-khulum-is-an-a	u-ku-khulum-is-an-a
na-i-m-pimpi	na-i-mi-piphi
lokhu	lo-khu
ku-enz-iw-a	kwa-i-n-ziw-a
ku-phel-a	ku-phel-a
nga-i-n-vumo	nga-i-n-vumo
ya-kho	ya-kho
godu	o-du
u-nga-bik-a	u-nga-bik-a
i-zi-enzo	i-zi-enzo
za-u-bu-lelesi	za-u-bu-lel-is-e
nga-ukweelektroniki	nga-u-kweentjekoliki
ku-webhsayithi	kwa-u-bu-sebhathi
ya-i-mi-sebenzi	ya-i-mi-sebenzi
s-e-sewula	sa-i-si-welu
i-south	i-si-tho
n-eqinisekis-a	na-i-li-qinisekiso
u-ku-ngazivezi	u-ku-nga-zi-ez-ik-a
kwa-kho	kwa-kho
nga-phandle	nga-phandle
kwa-li-okh-a	kwa-lokh-a
u-fun-a	u-fun-a
njalo	njalo
e-ithi08600	e-thifiko
w-e-sentha	w-e-sentha
y-e-rhelebho	y-e-rhebhelo
l-o-i-m-tato	l-o-i-m-tato
u-za-kuhlahla	u-zaku-hlahl-a
nga-i-mi-buzo	nga-i-mi-buzo
i-lu-az-i	i-li-az-w-a
o-linikeleko	o-linikeleko
u-zaku-nikel-a	u-zaku-nik-el-a
y-e-khodi	ya-i-khodi
i-lu-az-i	i-li-az-w-a
ali-kab-i	a-li-baki
ukuba	u-ku-b-a
u-za-kuyelelisa	u-zaku-yel-el-is-a
ukobana	u-ku-bona
u-nga-li-fum-an-a	u-nga-li-fuman-a
bu-njani	bu-njani
i-lu-az-i	i-li-az-w-a
eli-na-bileko	eli-nabel-iko
i-lu-az-i	i-li-az-w-a
eli-nga-setjenziswa	eli-nga-setjenz-iw-a
