la-oll-a	Laoll-a
foromo	rofomo
ya	y-a
n-kopo	kopo
ho	ho
inthanethe	i-nthantehe
kapa	kap-a
fuman-e	fuman-e
ofisi-ng	ofising
haufi	hafui
ya	y-a
SARS	SASA
Foromo	Foromo
ya	y-a
n-kopo	kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-kopi	mo-kopi
mme	mm-em
se-ng	se-ng
ke	ke
mo-tho	mo-tho
wa	wa
bo-raro	bo-raro
ho	ho
se-ng	se-ng
jwalo	n-walo
n-kopo	kopo
ka	k-a
se	se
el-w-e	el-w-e
hloko	hloko
Thus-a	Thusa
tadim-e	tamidi
ho	ho
tataiso	n-tataiso
ya	y-a
ho	ho
ets-a	ets-a
n-kopo	kopo
ho	ho
thus-a	thus-a
n-tshebetso-ng	tshebetsong
ya	y-a
laesense	laes-ense
N-Karolo-ng	N-Karolong
ya	y-a
me-futa	me-futa
ya	y-a
ba-sebedisi	ba-sebedisi
sheb-a	sheb-a
le-bokose-ng	le-bokoseng
la	l-a
AGOA	AABS
Mo-faboriki	mo-Afarofiki
wa	wa
AGOA	AABS
tlasa	tlas-a
ngodiso	n-ngodiso
N-Karolo-ng	N-Karolong
ya	y-a
AGOA	AABS
di-ntlha	di-ntlha
tsa	ts-a
Mo-faboriki	mo-Afarofiki
wa	wa
AGOA	AABS
di	di
batl-a	batl-a
le-bitso	le-bitso
la	l-a
n-kgwebo	n-kgwebo
la	l-a
mo-sebetsi	mo-sebetsi
wa	wa
hao	hao
se-baka	se-baka
seo	se-o
mo-sebetsi	mo-sebetsi
wa	wa
hao	hao
em-e-ng	em-eng
ho	ho
sona	son-a
mo-hlala	mo-hlala
Poloto10	Polotol
le-bitso	le-bitso
la	l-a
se-terata	se-terata
le	le
nomoro	n-omoro
ya	y-a
mo-sebetsi	mo-sebetsi
mo-tsana	mo-tsana
oo	oo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
ona	on-a
toropo	n-toporo
kgolo	n-kgolo
kapa	kap-a
toropo	n-toporo
moo	mo-o
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
yona	yon-a
le	le
khoutu	khoutu
ya	y-a
se-terata	se-terata
sa	s-a
mo-tsana	mo-tsana
oo	oo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
wona	nowa
N-Karolo	N-Karolo
ya	y-a
ma-tla	ma-tla
ho	ho
ets-a	ets-a
N-Kopo	N-Kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-nga	mo-nga
n-kgwebo	n-kgwebo
ya	y-a
ik-em-e-ts-e-ng	ik-em-e-ts-e-ng
l-e	le
inotshi	n-itshoni
mo-laodi	mo-laodi
ba-lekane	ba-lekane
se-tho	se-tho
mo-lebedi	mo-lebedi
wa	wa
traste	traste
kapa	kap-a
mo-tho	mo-tho
ya	y-a
okam-e-ts-e-ng	okame-ts-e-ng
n-kgwebo	n-kgwebo
ha	ha
ets-a	ets-a
n-kopo	kopo
ya	y-a
ngodiso	n-ngodiso
ya	y-a
le-kgetho	le-kgetho
le	le
le-kgetho	le-kgetho
la	l-a
thepa	thep-a
ya	y-a
le-hae	le-hae
se-bake-ng	ba-keng
sa	s-a
mo-faboriki	mo-baforiki
ya	y-a
kgeth-eh-il-e-ng	kgeth-eh-il-e-ng
wa	wa
AGOA	AABS
le-bitso	le-bitso
la	l-a
mo-kopi	mo-kopi
kapa	kap-a
le-bitso	le-bitso
la	l-a
ngodiso	n-ngodiso
ya	y-a
mo-sebetsi	mo-sebetsi
mme	mm-em
se-ng	se-ng
le-bitso	le-bitso
la	l-a
n-kgwebo	n-kgwebo
le	le
tlam-eh-a	tlam-eh-a
ho	ho
hlah-el-l-a	hlah-el-l-a
n-karolo-ng	n-karolong
ena	en-a
moo	mo-o
ho	ho
hlah-a-ng	hlah-a-ng
n-aletsana	nale-ats-a-ng
Hlakol-a	hlakol-a
le	le
efe	efe
sa	s-a
hlok-ahal-e-ng	hlok-ahal-e-ng
N-Karolo-ng	N-Karolong
ya	y-a
Phatlalatso	Phatlalatso
bolel-a	bolel-a
tse	ts-e
latel-a-ng	latel-a-ng
di-tlhaku	di-tlhaku
tsa	ts-a
pele	pele
tsa	ts-a
ma-bitso	ma-bitso
le	le
se-fane	f-an-e
ya	y-a
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	kopo
ya	y-a
laesense	laes-ense
ma-emo	ma-emo
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	kopo
mo-hlala	mo-hlala
mo-laodi	mo-laodi
mo-okamedi	mo-okamedi
mo-nga	mo-nga
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	kopo
tlam-eh-a	tlam-eh-a
ho	ho
saen-a	saen-a
foromo	rofomo
ya	y-a
n-kopo	kopo
le-tsatsi	le-tsatsi
leo	leo
n-kopo	kopo
saen-n-w-e-ng	saen-n-w-e-ng
ka	k-a
lona	lon-a
se-baka	se-baka
seo	se-o
n-kopo	kopo
saen-n-w-e-ng	saen-n-w-e-ng
ho	ho
sona	son-a
Tla-ts-a	Tlatsa
foromo	rofomo
ya	y-a
n-kopo	kopo
mme	mm-em
rom-el-e	rom-el-e
ofisi-ng	ofising
haufi	hafui
ya	y-a
Hok-el-a	No-kolela
foromo-ng	rofomong
ya	y-a
n-kopo	kopo
di-tokomane	di-tokomane
tse	ts-e
latel-a-ng	latel-a-ng
tsa	ts-a
se-thatho	se-thatho
kapa	kap-a
di-kopi	di-kopi
tse	ts-e
ti-is-el-ed-its-w-e-ng	ti-is-ed-il-ets-w-e-ng
le-ngolo	le-ngolo
la	l-a
bo-paki	bo-paki
la	l-a
ngodiso	n-ngodiso
ya	y-a
n-kgwebo	n-kgwebo
jwalo	n-walo
ka	k-a
ha	ha
le	le
ntsh-its-w-e	ntsh-its-w-e
ke	ke
mo-ngodisi	mo-ngodisi
wa	wa
di-khampani	di-khampani
kapa	kap-a
mo-abi	mo-abi
wa	wa
ma-fa	ma-fa
ha	ha
le	le
Traste	Traste
qeto	qeto
kapa	kap-a
n-tumello	n-tumello
kapa	kap-a
bo-laodi	bo-laodi
bo	bo
bong	bong
ho	ho
y-a	y-a
ka	k-a
moo	mo-o
ho	ho
hlok-eh-a-ng	hlok-eh-a-ng
n-tumello	n-tumello
ha	ha
hlok-ahal-a	hlok-ahal-a
ya	y-a
le-fapha	le-fapha
la	l-a
N-Kgwebo	N-Kgwebo
le	le
Indasteri	Insadteri
fomula	fomul-a
ha	ha
ets-a	ets-a
n-kopo	kopo
tlasa	tlas-a
n-pusetso	n-pusetso
ya	y-a
n-karolo	n-karolo
le	le
tokomane	tokomane
ya	y-a
bo-itsebiso	bo-itsebiso
ha	ha
l-e	le
mo-ahi	mo-ahi
wa	wa
Afrika	Afrika
bo-rwa	bo-rwa
di-tokomane	di-tokomane
tsa	ts-a
pasepoto	pasepoto
ha	ha
mo-tho	mo-tho
eo	eo
se-ng	se-ng
mo-dudi	mo-dudi
Koporasi	Koporasi
ya	y-a
ba-tho	ba-tho
ba	b-a
mo-mmalwa	mo-mwala
cc	CE
le	le
traste	traste
di-tho	di-tho
tsohle	tshol-e
ba-lekane	ba-lekane
kapa	kap-a
ba-lebedi	ba-lebedi
ba	b-a
traste	traste
khampani	khampani
ba-laodi	ba-laodi
bohle	bohle
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
mo-laodi	mo-laodi
ya	y-a
okam-e-ts-e-ng	okame-ts-e-ng
le	le
mo-laodi	mo-laodi
wa	wa
di-tjhelete	di-tjheele
Thibelo	N-Thibelo
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
ke	ke
di-tsi	di-tsi
tse	ts-e
fapan-e-ng	fapan-e-ng
tseo	tseo
lets-ets-a-ng	le-ts-ets-a-ng
ho	ho
tsona	tson-a
tseo	tseo
bo-ikarabelo	bo-ikarabelo
ba	b-a
tsona	tson-a
l-e-ng	le-ng
ho	ho
bok-ell-a	bok-el-l-a
di-ntlha	di-ntlha
se-tjhabe-ng	se-tjhabeng
mabapi	ma-bapi
le	le
ba	b-a
