li-fuman-e	li-fum-an-e
e-o-fis-ini	e-o-fisini
e-liseduz-e	eli-ssd-de
ku-fanel-e	ku-fanel-e
li-zal-is-w-e	li-zalis-w-e
i-nga-s-i	i-nga-s-i
omu-nye	omu-nye
u-mu-ntu	u-mu-ntu
njalo	njalo
si-ba-w-a	si-ba-w-a
u-fund-e	u-fund-e
u-mu-hlahlandlela	u-mu-hlahlandlele
ya-kho	ya-kho
ya-i-li-layisense	y-ella-ilasens
e-i-si-gabe-ini	e-s-ga-ab-a-ini
w-e-klayenti	w-e-kllyenti
qal-a	qal-a
i-bhokisana	i-bhokisan-a
l-o-i-m-enzi	la-u-mu-enzi
w-e-agoa	wa---goa
nga-pha-si	nga-phas-i
e-i-si-gabe-ini	e-s-ga-ba-a-ini
sa-i-mi-niningo-ana	sa-i-mi-niningo-ana
y-o-i-m-enzi	ya-u-mu-enzi
w-e-agoa	w-a--gaga
vez-a	vezza
i-li-gama	i-ga-ma
la-u-ku-enz-a	la-u-ku-enz-a
i-li-bhizinisi	i-bhizinisi
la-i-li-bhizinisi	la-i-li-bhinisi
ya-kho	ya-kho
i-ndawo	i-n-dawo
lapho	la-pho
ku-thol-akal-a	ku-thol-akal-a
i-li-bhizinisi	i-bhizinisi
i-si-bonelo	i-si-bonelo
i-plodo	i-llodoo
i-li-gama	i-ga-ma
l-estrad-a	l-e-strada
na-i-n-omboro	na-i-n-mmboro
ya-i-li-bhizinisi	y--i-li-bhinisi
i-sabhabhu	i-si-bhabhu
lapho	la-pho
i-li-bhizinisi	i-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
i-dorobha	i-dorobha
eli-khulu	eli-khulu
i-dorobha	i-doroobh
lapho	la-pho
i-li-bhizinisi	i-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
ka-nye	ka-nye
na-i-khodi	na-i-khodi
y-e-strada	y-e-strada
lapho	la--pho
i-li-bhizinisi	i-bhizinisi
li-thol-akal-a	li-thol-akal-a
kho-na	khona
i-si-gaba	i-si-gaba
la-u-ku-enz-a	la-u-ku-enz-a
ku-fanel-e	ku-fanel-e
si-zal-is-w-e	si-zalis-w-e
ku-phel-a	ku-phel-a
o-pheth-e	o-pheth-e
i-li-bhizinisi	i-bhizinisi
lokha	la-u-kh-a
na-kenz-a	na-ka-enz-a
s-o-i-kutloliswa	s-o-i-kutloliswa
njenga-u-m-enzi	njenga-u-mu-enzi
w-e-pahla	w-e-pahla
w-e-agoa	w-e-agoa
i-li-gama	i-ga-ma
i-li-gama	i-ga-ma
