la-oll-a	laol-l-a
foromo	foromo
ya	y-a
n-kopo	n-kopo
ho	ho
inthanethe	inthaneth-e
kapa	k-pap
fuman-e	fuman-e
ofisi-ng	ofising
haufi	haufi
ya	y-a
SARS	sars
Foromo	foromo
ya	y-a
n-kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-kopi	mo-kopi
mme	moe
se-ng	se-ng
ke	ke
mo-tho	mo-tho
wa	waa
bo-raro	bo-raro
ho	ho
se-ng	se-ng
jwalo	jwalo
n-kopo	kopopo
ka	k-a
se	se
el-w-e	el-w-e
hloko	hloko
Thus-a	thus-a
tadim-e	tadim-e
ho	ho
tataiso	n-tataiso
ya	y-a
ho	ho
ets-a	ets-a
n-kopo	k-popo
ho	ho
thus-a	thus-a
n-tshebetso-ng	tshebetsong
ya	y-a
laesense	la-esense
N-Karolo-ng	n-karolong
ya	y-a
me-futa	me-futa
ya	y-a
ba-sebedisi	ba-sebedisi
sheb-a	sheb-a
le-bokose-ng	lebokoseng
la	la
AGOA	a-oa-a
Mo-faboriki	mo-faboriki
wa	wa
AGOA	a-oa-a
tlasa	tla-a
ngodiso	n-ngodiso
N-Karolo-ng	n-karolong
ya	y-a
AGOA	a-ngaa
di-ntlha	di-ntlha
tsa	tsa
Mo-faboriki	mo-faboriki
wa	waa
AGOA	a-o-a
di	di
batl-a	batl-a
le-bitso	le-bitso
la	la
n-kgwebo	n-kgwebo
la	la
mo-sebetsi	mo-sebetsi
wa	waa
hao	hao
se-baka	se-baka
seo	se-o
mo-sebetsi	mo-sebetsi
wa	waa
hao	hao
em-e-ng	em-e-ng
ho	ho
sona	son-a
mo-hlala	mo-hlala
Poloto10	polototu
le-bitso	le-bitso
la	la
se-terata	se-terata
le	le
nomoro	nomoro
ya	y-a
mo-sebetsi	mo-sebetsi
mo-tsana	mo-tsana
oo	oo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
ona	ona
toropo	toropo
kgolo	n-kgolo
kapa	k-pa
toropo	toropo
moo	mo-o
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
yona	yona
le	le
khoutu	khoutu
ya	y-a
se-terata	se-terata
sa	sa
mo-tsana	mo-tsana
oo	oo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
wona	won-a
N-Karolo	n-karolo
ya	y-a
ma-tla	matla
ho	ho
ets-a	ets-a
N-Kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-nga	mo-nga
n-kgwebo	n-kgwebo
ya	y-a
ik-em-e-ts-e-ng	i--em-e-ts-e-ng
l-e	le
inotshi	inntshi
mo-laodi	mo-laodi
ba-lekane	bal-ek-an-e
se-tho	se-tho
mo-lebedi	mo-lebedi
wa	waa
traste	traste
kapa	k-ka
mo-tho	mo-tho
ya	y-a
okam-e-ts-e-ng	ok-a-e-ts-e-ng
n-kgwebo	kgwebo
ha	ha
ets-a	ets-a
n-kopo	n-kopo
ya	y-a
ngodiso	n-ngodiso
ya	y-a
le-kgetho	le-kgetho
le	le
le-kgetho	le-kgetho
la	la
thepa	thep-a
ya	y-a
le-hae	lehae-
se-bake-ng	ba-keng
sa	sa
mo-faboriki	mo-faboriki
ya	y-a
kgeth-eh-il-e-ng	kgeth-eh-il-e-ng
wa	waa
AGOA	a-oa-a
le-bitso	le-bitso
la	la
mo-kopi	mo-kopi
kapa	k-pa
le-bitso	le-bitso
la	la
ngodiso	n-ngodiso
ya	y-a
mo-sebetsi	mo-sebetsi
mme	moe
se-ng	se-ng
le-bitso	le-bitso
la	la
n-kgwebo	kgwebo
le	le
tlam-eh-a	tlam-eh-a
ho	ho
hlah-el-l-a	hlah-el-l-a
n-karolo-ng	n-karolong
ena	en-a
moo	mo-o
ho	ho
