la-oll-a	laol-l-a
foromo	foromo
ya	y-a
n-kopo	n-kopo
ho	ho
inthanethe	i-nthaneth-e
kapa	kap-a
fuman-e	fuman-e
ofisi-ng	ofising
haufi	haufi
ya	y-a
sars	sars
foromo	foromo
ya	y-a
n-kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-kopi	mo-kopi
mme	mo-mme
se-ng	se-ng
ke	ke
mo-tho	mo-tho
wa	w-a
bo-raro	boraro
ho	ho
se-ng	se-ng
jwalo	jwalo
n-kopo	n-kopo
ka	ka
se	se
el-w-e	el-w-e
hloko	hloko
thus-a	thus-a
tadim-e	n-tadime
ho	ho
tataiso	n-tataiso
ya	y-a
ho	ho
ets-a	ets-a
n-kopo	n-kopo
ho	ho
thus-a	thus-a
n-tshebetso-ng	n-tshebetsong
ya	y-a
laesense	la-esense
n-karolo-ng	n-karolong
ya	y-a
me-futa	me-futa
ya	y-a
ba-sebedisi	ba-sebedisi
sheb-a	sheb-a
le-bokose-ng	le-bokoseng
la	la
agoa	ago-a
mo-faboriki	mo-faboriki
wa	w-a
agoa	ago-a
tlasa	tlas-a
ngodiso	n-ngodiso
n-karolo-ng	n-karolong
ya	y-a
agoa	ago-a
di-ntlha	di-ntlha
tsa	ts-a
mo-faboriki	mo-faboriki
wa	w-a
agoa	ago-a
di	di
batl-a	batl-a
le-bitso	le-bitso
la	la
n-kgwebo	n-kgwebo
la	la
mo-sebetsi	mo-sebetsi
wa	w-a
hao	hao
se-baka	se-baka
seo	se-o
mo-sebetsi	mo-sebetsi
wa	w-a
hao	hao
em-e-ng	em-e-ng
ho	ho
sona	sona
mo-hlala	mo-hlala
poloto10	n-poloto8o
le-bitso	le-bitso
la	la
se-terata	se-terata
le	le
nomoro	nomoro
ya	y-a
mo-sebetsi	mo-sebetsi
mo-tsana	mo-tsana
oo	ooo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
ona	ona
toropo	n-topo
kgolo	n-kgolo
kapa	kap-a
toropo	n-topo
moo	moo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
yona	yon-a
le	le
khoutu	khoutu
ya	y-a
se-terata	se-terata
sa	sa
mo-tsana	mo-tsana
oo	ooo
mo-sebetsi	mo-sebetsi
l-e-ng	le-ng
ho	ho
wona	wona
n-karolo	n-karolo
ya	y-a
ma-tla	matla
ho	ho
ets-a	ets-a
n-kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
tla-ts-w-a	tla-ts-w-a
ke	ke
mo-nga	monga
n-kgwebo	n-kgwebo
ya	y-a
ik-em-e-ts-e-ng	ik-em-ets-e-ng
l-e	le
inotshi	inotshi
mo-laodi	mo-laodi
ba-lekane	ba-lekane
se-tho	se-tho
mo-lebedi	mo-lebedi
wa	w-a
traste	traste
kapa	kap-a
mo-tho	mo-tho
ya	y-a
okam-e-ts-e-ng	okame-ts-e-ng
n-kgwebo	n-kgwebo
ha	ha
ets-a	ets-a
n-kopo	n-kopo
ya	y-a
ngodiso	n-ngodiso
ya	y-a
le-kgetho	le-kgetho
le	le
le-kgetho	le-kgetho
la	la
thepa	thep-a
ya	y-a
le-hae	le-hae
se-bake-ng	bakeng
sa	sa
mo-faboriki	mo-faboriki
ya	y-a
kgeth-eh-il-e-ng	kgeth-il-e-ng
wa	w-a
agoa	ago-a
le-bitso	le-bitso
la	la
mo-kopi	mo-kopi
kapa	kap-a
le-bitso	le-bitso
la	la
ngodiso	n-ngodiso
ya	y-a
mo-sebetsi	mo-sebetsi
mme	mo-mme
se-ng	se-ng
le-bitso	le-bitso
la	la
n-kgwebo	n-kgwebo
le	le
tlam-eh-a	tlam-eh-a
ho	ho
hlah-el-l-a	hlah-el-l-a
n-karolo-ng	n-karolong
ena	ena
moo	moo
ho	ho
hlah-a-ng	hlah-a-ng
